video_id,title,channel_name,published_at,views,likes,comments,tags,keywords,video_url,collection_date
pRNuB1yii14,"Gatta Kusthi 2 - Chill Mummy Video Song | Vishnu Vishal, Aishwarya Lekshmi | Sean Roldan",Sony Music South,2026-07-08 05:30:28,250863,2923,34,"Sony Music South, Sony Music, Latest Song, Tamil song, Tamil Latest Song, Latest songs in Tamil4, Songs in Tamil, Latest Tamil Movies, Tamil Movie Songs, Latest Video Songs Tamil, latest Tamil Love Songs, Latest Tamil Hit Songs, Songs in Telugu4, Telugu Movie Songs, Video Songs Telugu, new Telugu Songs","gatta, kusthi, chill, mummy, vishnu, vishal, aishwarya, lekshmi",https://www.youtube.com/watch?v=pRNuB1yii14,2026-07-09
lCGUDP4R18c,"Main Rahoon Ya Na Rahoon 8K Video Song | Emraan Hashmi, Esha Gupta | Amaal Mallik, Armaan Malik",T-Series,2026-07-08 08:59:46,249083,3965,152,"tseries, tseries songs, hindi songs, romantic hindi songs, hindi songs bollywood, hindi song status, hindi song, song, latest hindi songs, new hindi songs, bollywood latest songs, bollywood romantic songs, main rahoon ya na rahoon, emraan hashmi song, mai rahoon ya na rahoon, emraan hashmi songs, main rahoon ya na rahoon song, emraan hashmi new song, main rahoon ya na raahoo, armaan malik songs, amaal mallik songs","main, rahoon, emraan, hashmi, esha, gupta, amaal, mallik",https://www.youtube.com/watch?v=lCGUDP4R18c,2026-07-09
hBC-xvnmrH4,"Minecraft, But It's One Super OP Block...",Mc flame,2026-07-07 08:30:37,232492,2908,173,"mc flame, minecraft, mc flame trolling sister, Minecraft, trolling sister in minecraft, mc flame trolling his sister, troll, kartik troll gauri, minecraft but, Minecraft But You Can Multiply Any Item.., Minecraft But You Can Multiply Any Item in World.., multiply any item in minecraft, mulitply, items","minecraft, one, super, block",https://www.youtube.com/watch?v=hBC-xvnmrH4,2026-07-09
eDXXym5ZAbo,India vs England 4th T20 Match | IND vs ENG Match |         | Cricket 26 Gameplay,Golden Cricket,2026-07-08 03:46:11,219596,3638,212,"cricket, cricket 26, cricket 26 gameplay, cricket live, cricket match live, ind vs eng, ind vs eng live, ind vs eng live match, ind vs eng live match today, india vs england, india vs england 4th t20 live, india vs england 4th t20 match, india vs england live, india vs england live match today, india vs england t20 series 2026, live cricket, live cricket match, live cricket match today, live cricket today, live match, live match today, today match live, इज्जत बचाने की लड़ाई","india, england, 4th, t20, match, ind, eng, cricket",https://www.youtube.com/watch?v=eDXXym5ZAbo,2026-07-09
KfT7AtKWS-A,GTA 5 LIVE | Train vs 100 Luxury Cars      ?,Sunil Gaming,2026-07-09 07:16:37,212532,1979,0,"gta 5 live, gta v train vs cars, gta 5 experiment, train vs 100 cars gta, gta 5 hindi live, gta 5 luxury cars, gta 5 mods, gta 5 funny moments, gta v gameplay hindi, gta 5 train crash, gta 5 livestream india","gta, live, train, 100, luxury, cars",https://www.youtube.com/watch?v=KfT7AtKWS-A,2026-07-09
gywcIPy7sBw,GTA 5 LIVE   Train Stop Challenge   | Fail ya Win?,Sanya little queen,2026-07-09 01:43:19,194899,1185,0,"Sanya little queen, Sanya queen, Sanya shorts, Little queen shorts, Sanya gaming shorts, Sanya gaming, Techno gamer, angry, #bgmi, #gtav, #gta, #gta vi, gta live, gta v live, gta game, gta video, gta spiderman, gta, gta5, gta6, stream, gtaonline, grandrp, gta funny, technogamer, gameplay, ps5, monkey, gtakhelo, trendingshorts, livestream, gtavicecity, gtatrain, train, gtavlive, gtaonlinelive, livestreaming, shortsfeed, shorts, gta5livestream, viral, viralshorts, gtalive, gta5live, gtavlivestream, technogamerz","gta, live, train, stop, challenge, fail, win",https://www.youtube.com/watch?v=gywcIPy7sBw,2026-07-09
g0JQLkd2wWA,"TRAILER | MEHERBAAN |   | #Khesari Lal Yadav, Meghashree | Latest Bhojpuri Superhit Movie 2026",Khesari Movies,2026-07-09 00:30:19,187918,35573,4305,"meherbaan trailer, meherbaan bhojpuri movie, meherbaan khesari lal yadav, meherbaan meghashree, meherbaan bhojpuri film, meherbaan bhojpuri movie 2026, मेहरबान भोजपुरी फिल्म, मेहरबान मूवी, khesari, #khesari, khesari lal, khesari lal yadav, khesari lal yadav movie, khesari lal yadav movie 2026, khesari lal yadav film, khesari lal yadav bhojpuri film 2026, bhojpuri movie, bhojpuri film, bhojpuri, film, movie, bhojpuri film 2026, bhojpuri movie trailer, bhojpuri trailer 2026, meharban","meherbaan, khesari, lal, yadav, meghashree, latest, bhojpuri, superhit",https://www.youtube.com/watch?v=g0JQLkd2wWA,2026-07-09
etlmPYPyYUE,Run - Official Trailer | In Cinemas On July 10 | Madhavan | Meera Jasmine | N Linguswamy |Vidyasagar,Thirrupathi Brothers,2026-07-08 12:44:52,182684,4600,347,"Thirrupathi, Brothers, Run, Full tamil movie, movie trailer, movie re release, Madhavan, meera jasmine, Linguswamy","run, cinemas, july, madhavan, meera, jasmine, linguswamy, vidyasagar",https://www.youtube.com/watch?v=etlmPYPyYUE,2026-07-09
Se3psnEdn0g,"Revamp Master Series Pre-Quarter Finals Day 3 | Group C Showdown ft. Apex, Divine, Myth, Wild Fangs",RekRoom,2026-07-08 16:52:41,170833,4400,10,No Tags,"revamp, master, series, pre, quarter, finals, day, group",https://www.youtube.com/watch?v=Se3psnEdn0g,2026-07-09
ptSpJ4UbFY0,RNX WARZONE INVITATIONAL  | Counter Day 2 #freefire #freefirelive #gyangaming,ROCKY & RDX,2026-07-08 18:43:31,168475,8230,94,"free fire, free fire tournament, desi gamers, garena free fire, total gaming, gyan gaming, raistar, rockyrdx, pahadi gaming, jonathan, godlike","rnx, warzone, invitational, counter, day, freefire, freefirelive, gyangaming",https://www.youtube.com/watch?v=ptSpJ4UbFY0,2026-07-09
kYC-5ExdTTQ,I SECRETLY Got ADMIN PANEL in SPEED KEYBOARD ESCAPE Roblox!,SenpaiUnlimited,2026-07-08 04:39:19,165580,5977,619,"senpaispider, senpaispider new video, senpaispider pvp, senpaispider face revel, senpaispider wither storm, senpaispider smarty pie, senpaispider lapatasmp, senpaispider minecraft, blox fruit, roblox blox fruit, senpai blox fruit, blox fruits, sea 2 blox fruit, sea 3 blox fruit, steal a brainrot, steal a brainrot update, steal a brainrot owner, senpaispider steal a brainrot, senpai unlimited","secretly, got, admin, panel, speed, keyboard, escape, roblox",https://www.youtube.com/watch?v=kYC-5ExdTTQ,2026-07-09
7AAJASy2v5w,CLIMB AND JUMP THE LONGEST TOWER IN ROBLOX !!,GemBlox,2026-07-08 09:19:21,162393,3238,606,"shivang mini, mini army, roblox hindi, roblox game, roblox shivang mini, roblox online game, robux, roblox games, gem blox, Shivang mini, RESCUE NEW SECRET BRAINROTS FROM LAVA IN ROBLOX !!, dash, caylus roblox, cash blox, ROBLOX GUESS THE CLONE OR LOSE !!, SURVIVE ZOMBIE ARENA IN ROBLOX !!, DON'T DRAW ME BADLY IN ROBLOX !!, ESCAPE GRANNY HOUSE IN ROBLOX !!, ROBLOX ANIMAL HIDE AND SEEK !!, GUESS THE ASMR IN ROBLOX !!, CLIMB AND JUMP THE LONGEST TOWER IN ROBLOX !!","climb, jump, longest, tower, roblox",https://www.youtube.com/watch?v=7AAJASy2v5w,2026-07-09
DwZrM3IMwVM,World Chat Noob Black Adam Collection Versus Prank   - Garena Free Fire Max,Assassins ARMY,2026-07-08 03:18:09,162292,8959,348,"free, fire, Freefire, freefirelive, Freefiregolbalplayer, freefiremodapk, freefirelegend, Twosidegamers, gyangaming, badge99, totalgaming, technogamers, freefireindia, tondegamer","world, chat, noob, black, adam, collection, versus, prank",https://www.youtube.com/watch?v=DwZrM3IMwVM,2026-07-09
Pyy9O17CUk0,Franklin Desh Ke Liye Saheed Ho Gaya!Part-2   Nobita Ro Ro Ke Bura Haal!,Anaconda Gaming12,2026-07-08 11:15:02,161796,1380,27,No Tags,"franklin, desh, liye, saheed, gaya, nobita, bura, haal",https://www.youtube.com/watch?v=Pyy9O17CUk0,2026-07-09
w6NqOeocPn0,8 July 2026 | Argentina vs France | FIFA World Cup 2026 | eFootball Gameplay 4K UHD,Football 99+,2026-07-08 13:00:05,155574,965,31,"Argentina vs france, Argentina","july, 2026, argentina, france, fifa, world, cup, efootball",https://www.youtube.com/watch?v=w6NqOeocPn0,2026-07-09
zTlgH2d8J84,MONEY BLOCK BATTLE IN MINECRAFT!!,Dash Empire,2026-07-08 08:45:15,155080,2469,115,No Tags,"money, block, battle, minecraft",https://www.youtube.com/watch?v=zTlgH2d8J84,2026-07-09
sESEgRSSraQ,GETTING SO CLOSE ! | HIGH KILL GAMEPLAY |  WMAX BGMI LIVE,Max Gaming,2026-07-08 19:33:58,153152,7326,29,"Max is Live, Bgmi gameplay, Pubg mobile gameplay, FASTEST 3 FINGER PLAYER BGMI, 1V4 CLUTCHES BGMI, Bgmi montage, Pubg mobile montage, Bgmi 1v4 clutch, Bgmi tips and tricks, Bgmi 1v4 gameplay, Pubg 1v4 clutch, Bgmi new update, Bgmi new royal pass","getting, close, high, kill, gameplay, wmax, bgmi, live",https://www.youtube.com/watch?v=sESEgRSSraQ,2026-07-09
8H2XYl-7Gds,Franklin Survives the Biggest Tornado In GTA 5 | Franklin Shinchan Video,AimAryz Gamer,2026-07-08 05:00:10,148609,0,36,"Gta 5 Shinchan, gta v game gta v game, grand theft auto videos, gta v franklin videos, gta 5 latest video, gta 5 gameplay video, gta v video, gta 5 cheat codes, gta 5 shinchan and franklin, gta 5 shinchan and franklin granny, gta 5 in mobile, gta 5 in mobile techno gamerz, tsunami gta 5 franklin, franklin wali video, gta v franklin showroom, franklin cartoon episode, franklin shinchan top new episode, franklin wala cartoon gta 5, Shinchan Gta 5, gta v gangster video","franklin, survives, biggest, tornado, gta, shinchan",https://www.youtube.com/watch?v=8H2XYl-7Gds,2026-07-09
vLC3h9eSeRU,GTA V LIVE   #shortsfeed #shortslive #gta #shorts #live #gta5,ARCANE GAMING,2026-07-09 02:03:48,145227,1011,0,"gta 5 live, gta v live stream, indian train gta 5, gta 5 challenge live, gta 5 stunts, gta 6, GTA 5 POLICE CHECKING, grand theft auto 6","gta, live, shortsfeed, shortslive, shorts, gta5",https://www.youtube.com/watch?v=vLC3h9eSeRU,2026-07-09
TGfOOJAMe4U,Heart Touching Romantic Song | Hindi Cover Song 2026,Bhakti Song Music,2026-07-07 02:30:06,141655,682,12,"थम के बरस ओ ज़रा थम के बरस, tham ke baras o zara tham ke baras, tham ke baras, hindi cover song, romantic song 2026, new hindi song 2026, heart touching romantic song, 90s romantic songs, 90s bollywood cover song, bollywood cover song, love song, romantic hindi song, new love song 2026, sad romantic song, best romantic song, hindi melody song, old bollywood songs, viral hindi song, trending hindi song, romantic hits 2026, love music, hindi songs, hindi love songs","heart, touching, romantic, hindi, cover, 2026",https://www.youtube.com/watch?v=TGfOOJAMe4U,2026-07-09
uo2OoZ0C57k,Meccha Chameleon & Talking,shreeman legend live,2026-07-08 21:13:31,137483,13437,41,"shreeman, shreemanlegend, shreeman legend live, comedy, entertainment, pcgamer, indian, fun, rage moments, live stream, siddhant, siddhant joshi, infamous mafia, bgmi, battlegroundsmobileindia, amd","meccha, chameleon, talking",https://www.youtube.com/watch?v=uo2OoZ0C57k,2026-07-09
F-epdksdDVM,O Firki Wali Tu Kal Phir Aana ! Dance Video ! Insta Trending Song !               #dj,Poswal Brothers Bollywood,2026-07-07 03:30:05,134773,536,7,"o firki wali tu kal fir aja, hindi love song 2026, romantic hindi song, 90s bollywood style song, evergreen hindi songs, sadabahar super hit song, romantic audio jukebox, bollywood love songs, hindi romantic hits, love melody, heart touching song, romantic playlist, hindi music, couple love song, latest romantic song, o firki wali tu kal phir aana song, firkiwali tu kal phir aana, bollywood songs, firkiwali tu kal phir aana dance, romantic song hindi, hindi songs","firki, wali, kal, phir, aana, dance, insta, trending",https://www.youtube.com/watch?v=F-epdksdDVM,2026-07-09
Vcrtq6uWbGM,"#4kVideo -         | #Ashish Yadav , #Khushi Kakkar | #New Song 2026",Raja Entertainment,2026-07-09 01:00:08,132678,16442,1241,"Ashish Yadav, Khushi Kakkar, Aamrapali Se Top Hamarwali, आम्रपाली से टॉप हमरवाली, aashish yadav ka gana, aashish yadav new song, aashish yadav maghi song, ashish yadav dj song, khushi kakkar new song, ashish yadav ka song, ashish yadav ka gana, ashish yadav ka naya gana, ashish yadav ka new song, Raja Entertainment, Ashish Yadav Amarpali Song, aashish yadav ka new song, aashish yadav song, ashish yadav new song, ashish yadav new gana, ashish yadav, Aashish Yadav","4kvideo, ashish, yadav, khushi, kakkar, 2026",https://www.youtube.com/watch?v=Vcrtq6uWbGM,2026-07-09
