video_id,title,channel_name,published_at,views,likes,comments,tags,keywords,video_url,collection_date,channel
OtpX1BylnQQ,100 Mystery Doors but Only ONE Lets YouEscape...,GAME THERAPIST,2026-07-08T09:03:26Z,52938,5324,289,"gta 5 malayalam, game therapist, gta 5 GameTherapist, gta 5, 100 mystery doors, only one lets you escape, mystery doors, escape challenge, escape game, hidden door, secret door, wrong door, right door, one door escape, can you escape, survival game, scary game, indie horror, full gameplay, lets play, gaming videos, only one door, pc gaming, steam game, new horror game, funny horror, escape adventure, mystery adventure, gaming channel, best gaming","100, mystery, doors, only, one, lets, youescape",https://www.youtube.com/watch?v=OtpX1BylnQQ,09/07/2026,
lCGUDP4R18c,"Main Rahoon Ya Na Rahoon 8K Video Song | Emraan Hashmi, Esha Gupta | Amaal Mallik, Armaan Malik",T-Series,2026-07-08T08:59:46Z,249083,3965,152,"tseries, tseries songs, hindi songs, romantic hindi songs, hindi songs bollywood, hindi song status, hindi song, song, latest hindi songs, new hindi songs, bollywood latest songs, bollywood romantic songs, main rahoon ya na rahoon, emraan hashmi song, mai rahoon ya na rahoon, emraan hashmi songs, main rahoon ya na rahoon song, emraan hashmi new song, main rahoon ya na raahoo, armaan malik songs, amaal mallik songs","main, rahoon, emraan, hashmi, esha, gupta, amaal, mallik",https://www.youtube.com/watch?v=lCGUDP4R18c,09/07/2026,
zTlgH2d8J84,MONEY BLOCK BATTLE IN MINECRAFT!!,Dash Empire,2026-07-08T08:45:15Z,155080,2469,115,No Tags,"money, block, battle, minecraft",https://www.youtube.com/watch?v=zTlgH2d8J84,09/07/2026,
D3V1JcceZss,Mountain Road Completely Impassable After Mind-Bending Crash - Euro Truck Simulator 2,ALICE STREAM,2026-07-08T08:32:19Z,354305,1797,0,No Tags,"mountain, road, completely, impassable, after, mind, bending, crash",https://www.youtube.com/watch?v=D3V1JcceZss,09/07/2026,
TUqNuXaq0AI,I Went Inside My FRIENDS HEADS In Minecraft😱,DevXD,2026-07-08T08:30:23Z,123559,6309,125,No Tags,"went, inside, friends, heads, minecraft",https://www.youtube.com/watch?v=TUqNuXaq0AI,09/07/2026,
RqnCiwunLmI,পরীক্ষায় শূন্য পাওয়ার পর শিনচান নবিতার সাথে ঘটলো দুর্ঘটনা | indian theft auto simulator gameplay,Lunatic Bong,2026-07-08T08:00:27Z,92642,551,21,"indian theft auto, indian theft auto bangla, shinchan game, nobita game, shinchan cartoon bangla, nobita cartoon bangla, indian theft aura simulator, indian theft auto simulator gameplay bangla, lunatic bong","indian, theft, auto, simulator, gameplay",https://www.youtube.com/watch?v=RqnCiwunLmI,09/07/2026,
uKPCsmR4ol0,Dada: The Sourav Ganguly Story | Official Trailer | Rajkumar Rao as Ganguly | Tanya Maniktala | 2026,Uncut Cinema,2026-07-08T07:55:31Z,75837,799,36,"uncut cinema, rajkummar rao, sourav ganguly, rajkumar rao as sourav ganguly, dada biopic, sourav ganguly biopic movie, DADA Biopic (2026), Dada biopic trailer, sourav ganguly life story, indian cricket, bollywood upcoming movie 2026, Dada The Sourav Ganguly Story, hindi, teaser, trailer, sourav ganguly official trailer, dada, sourav ganguly batting, ganguly biopic, sourav ganguly movie, saurav ganguly biopic, rajkummar rao new movie, rajkumar rao new movie","dada, sourav, ganguly, story, rajkumar, rao, tanya, maniktala",https://www.youtube.com/watch?v=uKPCsmR4ol0,09/07/2026,
Mh9ARAGxuUg,Tellachira Tella Raika,KONGARI KRISHNA - Topic,2026-07-08T07:48:37Z,45056,2048,0,"Kongari Krishna, Mallamma Singer, Mohan Mikky, Tellachira Tella Raika","tellachira, tella, raika",https://www.youtube.com/watch?v=Mh9ARAGxuUg,09/07/2026,
PkGyQPPRV1E,How I Ended AN EVIL ORGANISATION in This Minecraft SMP,SenpaiExtras,2026-07-08T07:31:36Z,605963,34629,2137,"senpaispider, senpaispider new video, senpaispider pvp, senpaispider edit, senpaispider minecraft, smartypie senpaispider, senpaispider face revel, senpaispider smarty pie, senpaispider wither storm, niz vs senpaispider, senpaispider lapatasmp","how, ended, evil, organisation, minecraft, smp",https://www.youtube.com/watch?v=PkGyQPPRV1E,09/07/2026,
R7t-mQmWyD4,WE DEFEATED STRONGEST TOWER BOSS IN PALWORD😱,NotGamerFleet,2026-07-08T07:30:37Z,344242,27325,2181,"gamerfleet, herobrine smp, anshu bisht, techno gamerz, total gaming, ujjwal, andreobee, khatarnak onespot, yessmarty pie, fleet, minecraft hindi, gamerfleet dance, Herobrine in ujjwal, herobrine smp funny, fleet smp anshu bisht, jack funny, horror game hindi, horror game, hindi horror gamer, GTA V GAMEPLAY, gta v story mode, gta v gamerfleet, gta v anshu bisht, gta v full gameplay, gta 5, racing wheel, palworld, pokemon palworld, ANUBIS PALWORLD","defeated, strongest, tower, boss, palword",https://www.youtube.com/watch?v=R7t-mQmWyD4,09/07/2026,
